priority,cluster,seed_keywords,suggest_rows,representative_queries,existing_coverage,decision,target_or_candidate,notes
1,停電時の冷蔵庫・食品衛生,"停電 冷蔵庫 / 停電 食品",288,"何時間; 食品; 冷凍食品; 開けない; 復旧; 保冷剤; ポータブル電源",B004概要,"NEW_ARTICLE","B045","サジェスト件数は検索ボリュームではない。食品安全を主役にし、家電故障・メーカー別再起動は別意図として原則除外"
2,台風の窓ガラス・養生テープ,"台風 窓ガラス / 台風 養生テープ 窓",34,"対策; 割れる; 養生テープ; 貼り方; 効果; 飛散防止フィルム; 割れたら",B006概要,"NEW_ARTICLE","B046候補","テープで窓強度が上がると断定しない。B006/B021から内部リンク、保険はB016へ"
3,災害時の車中泊,"車中泊 防災 / 災害 車中泊 / 避難所 車中泊",24,"必要なもの; エコノミークラス症候群; 軽自動車; 車種; ペット; 避難所",B029用品,"NEW_ARTICLE_ALREADY_DRAFTED","B044","安全・健康・支援を主役。用品はB029、ペットはB033へ役割分離"
4,夏の停電・熱中症,"停電 熱中症",13,"対策; 予防; 夏; 真夏; 地震停電; 犬; 猫",B004概要,"NEW_DETAIL_CANDIDATE","B047候補","高リスク。独自温度閾値を作らず公的情報優先。ペットはB033へ"
5,避難所の持ち物,"避難所 持ち物",12,"持ち物リスト; 最低限; 地震; 大雨; 赤ちゃん; 女性",B002強く重複,"UPDATE_OR_QA","B002 / Q&A","新規記事はカニバリ懸念。避難所固有の追加確認章をB002へ"
6,災害時の寒さ対策,"災害 寒さ 対策",8,"冬; 寒さ対策グッズ; 暑さ寒さ対策",B004概要,"UPDATE_THEN_REEVALUATE","B004","冬季Search Consoleデータが出た後に独立再評価"
7,線状降水帯と避難,"線状降水帯 避難",7,"避難指示; 避難方法; 避難レベル; 避難場所",B020/B042関連,"UPDATE_OR_QA","B020 / B042 / Q&A","線状降水帯発表を避難開始の絶対条件にしない"
8,常用薬・お薬手帳,"災害 常用薬 / 災害 お薬手帳",1,"お薬手帳",B002一部,"UPDATE_OR_QA","B002 / Q&A","災害 常用薬は0件。安全価値はあるがSEO優先度は下げる"
9,内水氾濫と洪水の違い,"内水氾濫 洪水 違い",1,"内水氾濫 洪水 違い",B005/B042関連,"UPDATE_OR_QA","B005 / B042 / Q&A","短い用語整理で満たせる可能性が高い"
10,災害時の口腔ケア,"災害 口腔ケア",1,"災害 口腔ケア",衛生系に余地,"UPDATE_OR_QA","衛生系記事 / Q&A","独立記事は後順位。公的・専門一次情報を確認して扱う"
11,洪水キキクル・河川氾濫,"洪水 キキクル / 洪水 避難 いつ / 河川 氾濫 避難",33,"見方; 色; 対象河川; 浸水キキクルとの違い; 避難レベル",B042,"KEEP_AND_STRENGTHEN_IF_NEEDED","B042","新規分割不要。地域名派生は全国記事から分割しない"
12,高潮避難,"高潮 避難 / 高潮 台風",2,"高潮被害; 伊勢湾台風",B043,"KEEP","B043","サジェストは少ないが2026年制度更新と安全ギャップを埋める価値を優先"
